Trial_ID,P1,P2,P3,P4,P5,P6,WarpMax,T_Tip_Peel,T_Tip_Shear,T_Tip_SEQV,T_Tip_Strain,T_Avg_Peel,T_Avg_Shear,B_Tip_Peel,B_Tip_Shear,B_Tip_SEQV,B_Tip_Strain,B_Avg_Peel,B_Avg_Shear,Die_SX,Die_SY_Max
BO_Trial_0263,0.8651565816726143,0.088134958016123,0.709086980328759,0.24146231308376628,1.21171142170409,0.062167571745809634,-0.17195585,-37.249943,0.1236799,40.872784,0.0037155272,0.046727557,-3.5954573,-4.5821247,-3.2285993,26.076227,0.0017430766,0.009145818,-3.5008147,73.88055,-93.86196
BO_Trial_0264,0.8523595319267747,0.08728801162139764,0.7064347099171384,0.2397146380571019,1.2006450843704455,0.06359200444355761,-0.17310989,-38.55853,-3.7943947,43.443523,0.003779733,0.057934124,-3.7875636,-4.94374,-3.5313568,26.989042,0.0018481713,0.007444565,-3.7153163,76.32849,-93.09212
BO_Trial_0265,0.8526011071470634,0.08585222549414334,0.7047722387069256,0.24006188990015934,1.2008182210449332,0.0643754788003604,-0.17286886,-38.926964,-4.7792487,44.076504,0.0038011328,0.060858067,-3.8067403,-4.967126,-3.5755413,27.225918,0.0018737443,0.0059245597,-3.7488477,76.48763,-92.60406
BO_Trial_0266,0.8586529042214313,0.08898539242023103,0.7065142336994102,0.24414031134221056,1.2324284065693252,0.06306144194876256,-0.16985215,-37.93855,-2.1512456,41.960117,0.003701013,0.046660576,-3.7103755,-4.658766,-3.322221,26.307493,0.0017770852,0.0069194874,-3.6157563,74.5588,-93.556046
BO_Trial_0267,0.850717790727085,0.08832655971274779,0.707298495222887,0.23786792660383824,1.2003043352301173,0.06547565052014558,-0.17382602,-38.80088,-5.1213007,44.18334,0.0038024539,0.059402067,-3.8521013,-4.671921,-3.615471,27.088505,0.001862246,0.008102945,-3.7697868,77.283806,-92.557304
BO_Trial_0268,0.8537740690101774,0.08699117382847395,0.7073847687279244,0.23976984300356105,1.2224662180702768,0.0656689468379786,-0.17118801,-38.827457,-4.9285727,43.91989,0.003773544,0.055742227,-3.794281,-4.4985337,-3.4799469,26.913565,0.0018307006,0.0061042877,-3.7125797,76.15776,-92.40259
BO_Trial_0269,0.8643003098817784,0.08906873189379189,0.7041004941034995,0.24319495585299927,1.2135845205434734,0.06538932213357833,-0.17181624,-38.03941,-3.114905,42.517662,0.003736502,0.04691266,-3.7119823,-4.400135,-3.2999623,26.363216,0.0017685886,0.008072332,-3.6040747,74.93598,-92.51661
BO_Trial_0270,0.849126371508555,0.060580143861588415,0.7088531146022041,0.23626389056180397,1.762402173874698,0.06110841843494422,-0.10653154,-37.049484,6.3631983,39.16245,0.0033310747,0.04066292,-2.7900493,-5.132991,-2.327938,29.246424,0.0018759877,-0.028342634,-2.8176932,59.926605,-88.359795
BO_Trial_0271,0.8589902740996901,0.08839577141176087,0.7128518755422744,0.25005422418479123,1.213337923978423,0.0620791003417309,-0.17197454,-37.41445,-0.05323852,41.056484,0.0037093249,0.04445917,-3.6301086,-4.7662764,-3.2968361,26.151169,0.0017583317,0.006948283,-3.5408304,74.27977,-94.29151
BO_Trial_0272,0.8701019888074049,0.08838674745122682,0.6528019766994559,0.2549085176167363,1.2007098708178925,0.06325703748516141,-0.1641854,-32.00874,3.8360481,35.68059,0.0035608092,0.0335121,-3.175524,-7.105387,-3.0133488,25.30234,0.0018492914,0.005023641,-3.104839,68.4044,-86.03682
BO_Trial_0273,0.8640914634055881,0.08725802056267307,0.706768364624056,0.23960730233392402,1.2237583650172252,0.0662300797107627,-0.17073539,-38.071056,-3.174792,42.673096,0.0037514926,0.049717575,-3.6708057,-4.2121716,-3.2853715,26.411598,0.0017681045,0.007584306,-3.5701406,74.73147,-92.09276
BO_Trial_0274,0.8541066344884976,0.08913914150023979,0.7096126074657856,0.24638398728721825,1.2401751181864051,0.06430710539123395,-0.16940373,-38.099678,-2.8882787,42.34729,0.0037000997,0.04551438,-3.7381945,-4.5844216,-3.3685954,26.392155,0.0017857642,0.0061189258,-3.639522,74.95391,-93.18399
BO_Trial_0275,0.871715559577194,0.08813804928011203,0.7048931662297225,0.236410209897702,1.200427131449162,0.06514085562873562,-0.17285931,-37.449394,-1.3900146,41.68515,0.0037434879,0.050822396,-3.6231363,-4.1625876,-3.2230601,26.192276,0.0017479928,0.010553171,-3.5148623,74.52602,-92.445915
BO_Trial_0276,0.8498488560169721,0.08623001781596991,0.7117642875952657,0.13929330076815985,1.2134692071247573,0.06373256852271252,-0.16699983,-32.274277,9.566114,34.75986,0.0035171527,0.052570708,-3.1586072,-5.332205,-3.3563673,26.77914,0.0019218548,0.02817092,-3.0188205,70.79605,-92.49688
BO_Trial_0277,0.8590023942725672,0.08904879188128215,0.7070286166802894,0.2420639824532854,1.2226635412145477,0.06294618347459022,-0.17093334,-37.852665,-1.9542443,41.96616,0.0037169028,0.04825107,-3.7068505,-4.6216407,-3.3366652,26.330494,0.0017778712,0.008083451,-3.6100922,74.82959,-93.59213
BO_Trial_0278,0.8661188228629602,0.08713467704199489,0.7139074304179643,0.23484223478353772,1.200326497721833,0.06239327588982232,-0.17328316,-36.6894,1.4466022,40.438168,0.003731655,0.048540976,-3.5071678,-4.3676543,-3.1743839,26.041447,0.0017235582,0.011124513,-3.4066973,73.84667,-93.62641
BO_Trial_0279,0.8615507862171757,0.08825090170742089,0.7146651466386709,0.23369800135870222,1.2126547356124884,0.06182992208179292,-0.17232163,-36.691414,1.264234,40.442253,0.0037195082,0.048484907,-3.541475,-4.40853,-3.2302117,26.004398,0.00173479,0.011635836,-3.4386153,74.04651,-94.037094
BO_Trial_0280,0.8550021108793139,0.06577721780848224,0.7038866963269714,0.23471442717938135,1.2003077584568513,0.06456903509853046,-0.1700526,-36.19682,6.058392,39.53343,0.0038985007,0.04059927,-3.138439,-4.757684,-3.038145,26.923676,0.0017988215,-6.6866894e-05,-3.0926623,70.02752,-92.23934
